combo_id,model,label,turbo,flow_scale,h_pre,status,returncode,elapsed_seconds,new_engine_count,new_engines,stdout,stderr,removed_zero_engines
m4151_4p15_lite_t0_f1p0_h2160,4151,4.15 lite,0,1.0,2160,ok,0,88.987,1,rife/8e947ba2.engine,logs\m4151_4p15_lite_t0_f1p0_h2160.stdout.txt,logs\m4151_4p15_lite_t0_f1p0_h2160.stderr.txt,
m4151_4p15_lite_t0_f1p0_h1920,4151,4.15 lite,0,1.0,1920,ok,0,0.958,0,,logs\m4151_4p15_lite_t0_f1p0_h1920.stdout.txt,logs\m4151_4p15_lite_t0_f1p0_h1920.stderr.txt,
m4151_4p15_lite_t0_f1p0_h1608,4151,4.15 lite,0,1.0,1608,ok,0,0.752,0,,logs\m4151_4p15_lite_t0_f1p0_h1608.stdout.txt,logs\m4151_4p15_lite_t0_f1p0_h1608.stderr.txt,
m4151_4p15_lite_t0_f1p0_h1440,4151,4.15 lite,0,1.0,1440,ok,0,0.709,0,,logs\m4151_4p15_lite_t0_f1p0_h1440.stdout.txt,logs\m4151_4p15_lite_t0_f1p0_h1440.stderr.txt,
m4151_4p15_lite_t1_f1p0_h2160,4151,4.15 lite,1,1.0,2160,ok,0,76.922,1,rife/43526926.engine,logs\m4151_4p15_lite_t1_f1p0_h2160.stdout.txt,logs\m4151_4p15_lite_t1_f1p0_h2160.stderr.txt,
m4151_4p15_lite_t1_f1p0_h1920,4151,4.15 lite,1,1.0,1920,ok,0,0.71,0,,logs\m4151_4p15_lite_t1_f1p0_h1920.stdout.txt,logs\m4151_4p15_lite_t1_f1p0_h1920.stderr.txt,
m4151_4p15_lite_t1_f1p0_h1608,4151,4.15 lite,1,1.0,1608,ok,0,0.647,0,,logs\m4151_4p15_lite_t1_f1p0_h1608.stdout.txt,logs\m4151_4p15_lite_t1_f1p0_h1608.stderr.txt,
m4151_4p15_lite_t1_f1p0_h1440,4151,4.15 lite,1,1.0,1440,ok,0,0.597,0,,logs\m4151_4p15_lite_t1_f1p0_h1440.stdout.txt,logs\m4151_4p15_lite_t1_f1p0_h1440.stderr.txt,
m4151_4p15_lite_t2_f1p0_h2160,4151,4.15 lite,2,1.0,2160,ok,0,0.641,0,,logs\m4151_4p15_lite_t2_f1p0_h2160.stdout.txt,logs\m4151_4p15_lite_t2_f1p0_h2160.stderr.txt,
m4151_4p15_lite_t2_f1p0_h1920,4151,4.15 lite,2,1.0,1920,ok,0,104.634,1,rife_v2/1b948657.engine,logs\m4151_4p15_lite_t2_f1p0_h1920.stdout.txt,logs\m4151_4p15_lite_t2_f1p0_h1920.stderr.txt,
m4151_4p15_lite_t2_f1p0_h1608,4151,4.15 lite,2,1.0,1608,ok,0,80.708,1,rife_v2/17262eed.engine,logs\m4151_4p15_lite_t2_f1p0_h1608.stdout.txt,logs\m4151_4p15_lite_t2_f1p0_h1608.stderr.txt,
m4151_4p15_lite_t2_f1p0_h1440,4151,4.15 lite,2,1.0,1440,ok,0,78.817,1,rife_v2/5b3cfa18.engine,logs\m4151_4p15_lite_t2_f1p0_h1440.stdout.txt,logs\m4151_4p15_lite_t2_f1p0_h1440.stderr.txt,
m422_4p22_t0_f1p0_h2160,422,4.22,0,1.0,2160,ok,0,84.023,1,rife/3c2da2d8.engine,logs\m422_4p22_t0_f1p0_h2160.stdout.txt,logs\m422_4p22_t0_f1p0_h2160.stderr.txt,
m422_4p22_t0_f1p0_h1920,422,4.22,0,1.0,1920,ok,0,0.796,0,,logs\m422_4p22_t0_f1p0_h1920.stdout.txt,logs\m422_4p22_t0_f1p0_h1920.stderr.txt,
m422_4p22_t0_f1p0_h1608,422,4.22,0,1.0,1608,ok,0,0.703,0,,logs\m422_4p22_t0_f1p0_h1608.stdout.txt,logs\m422_4p22_t0_f1p0_h1608.stderr.txt,
m422_4p22_t0_f1p0_h1440,422,4.22,0,1.0,1440,ok,0,0.637,0,,logs\m422_4p22_t0_f1p0_h1440.stdout.txt,logs\m422_4p22_t0_f1p0_h1440.stderr.txt,
m422_4p22_t1_f1p0_h2160,422,4.22,1,1.0,2160,ok,0,0.867,0,,logs\m422_4p22_t1_f1p0_h2160.stdout.txt,logs\m422_4p22_t1_f1p0_h2160.stderr.txt,
m422_4p22_t1_f1p0_h1920,422,4.22,1,1.0,1920,ok,0,0.798,0,,logs\m422_4p22_t1_f1p0_h1920.stdout.txt,logs\m422_4p22_t1_f1p0_h1920.stderr.txt,
m422_4p22_t1_f1p0_h1608,422,4.22,1,1.0,1608,ok,0,0.7,0,,logs\m422_4p22_t1_f1p0_h1608.stdout.txt,logs\m422_4p22_t1_f1p0_h1608.stderr.txt,
m422_4p22_t1_f1p0_h1440,422,4.22,1,1.0,1440,ok,0,0.663,0,,logs\m422_4p22_t1_f1p0_h1440.stdout.txt,logs\m422_4p22_t1_f1p0_h1440.stderr.txt,
m422_4p22_t2_f1p0_h2160,422,4.22,2,1.0,2160,ok,0,164.01,1,rife_v2/eeea150f.engine,logs\m422_4p22_t2_f1p0_h2160.stdout.txt,logs\m422_4p22_t2_f1p0_h2160.stderr.txt,
m422_4p22_t2_f1p0_h1920,422,4.22,2,1.0,1920,ok,0,132.694,1,rife_v2/a8e44e07.engine,logs\m422_4p22_t2_f1p0_h1920.stdout.txt,logs\m422_4p22_t2_f1p0_h1920.stderr.txt,
m422_4p22_t2_f1p0_h1608,422,4.22,2,1.0,1608,ok,0,108.072,1,rife_v2/a456e6bd.engine,logs\m422_4p22_t2_f1p0_h1608.stdout.txt,logs\m422_4p22_t2_f1p0_h1608.stderr.txt,
m422_4p22_t2_f1p0_h1440,422,4.22,2,1.0,1440,ok,0,95.465,1,rife_v2/e84c3248.engine,logs\m422_4p22_t2_f1p0_h1440.stdout.txt,logs\m422_4p22_t2_f1p0_h1440.stderr.txt,
m4221_4p22_lite_t0_f1p0_h2160,4221,4.22 lite,0,1.0,2160,ok,0,76.06,1,rife/edafc0c6.engine,logs\m4221_4p22_lite_t0_f1p0_h2160.stdout.txt,logs\m4221_4p22_lite_t0_f1p0_h2160.stderr.txt,
m4221_4p22_lite_t0_f1p0_h1920,4221,4.22 lite,0,1.0,1920,ok,0,0.745,0,,logs\m4221_4p22_lite_t0_f1p0_h1920.stdout.txt,logs\m4221_4p22_lite_t0_f1p0_h1920.stderr.txt,
m4221_4p22_lite_t0_f1p0_h1608,4221,4.22 lite,0,1.0,1608,ok,0,0.674,0,,logs\m4221_4p22_lite_t0_f1p0_h1608.stdout.txt,logs\m4221_4p22_lite_t0_f1p0_h1608.stderr.txt,
m4221_4p22_lite_t0_f1p0_h1440,4221,4.22 lite,0,1.0,1440,ok,0,0.621,0,,logs\m4221_4p22_lite_t0_f1p0_h1440.stdout.txt,logs\m4221_4p22_lite_t0_f1p0_h1440.stderr.txt,
m4221_4p22_lite_t1_f1p0_h2160,4221,4.22 lite,1,1.0,2160,ok,0,0.798,0,,logs\m4221_4p22_lite_t1_f1p0_h2160.stdout.txt,logs\m4221_4p22_lite_t1_f1p0_h2160.stderr.txt,
m4221_4p22_lite_t1_f1p0_h1920,4221,4.22 lite,1,1.0,1920,ok,0,0.748,0,,logs\m4221_4p22_lite_t1_f1p0_h1920.stdout.txt,logs\m4221_4p22_lite_t1_f1p0_h1920.stderr.txt,
m4221_4p22_lite_t1_f1p0_h1608,4221,4.22 lite,1,1.0,1608,ok,0,0.665,0,,logs\m4221_4p22_lite_t1_f1p0_h1608.stdout.txt,logs\m4221_4p22_lite_t1_f1p0_h1608.stderr.txt,
m4221_4p22_lite_t1_f1p0_h1440,4221,4.22 lite,1,1.0,1440,ok,0,0.624,0,,logs\m4221_4p22_lite_t1_f1p0_h1440.stdout.txt,logs\m4221_4p22_lite_t1_f1p0_h1440.stderr.txt,
m4221_4p22_lite_t2_f1p0_h2160,4221,4.22 lite,2,1.0,2160,ok,0,127.569,1,rife_v2/d4617984.engine,logs\m4221_4p22_lite_t2_f1p0_h2160.stdout.txt,logs\m4221_4p22_lite_t2_f1p0_h2160.stderr.txt,
m4221_4p22_lite_t2_f1p0_h1920,4221,4.22 lite,2,1.0,1920,ok,0,108.917,1,rife_v2/926f228c.engine,logs\m4221_4p22_lite_t2_f1p0_h1920.stdout.txt,logs\m4221_4p22_lite_t2_f1p0_h1920.stderr.txt,
m4221_4p22_lite_t2_f1p0_h1608,4221,4.22 lite,2,1.0,1608,ok,0,91.114,1,rife_v2/9edd8a36.engine,logs\m4221_4p22_lite_t2_f1p0_h1608.stdout.txt,logs\m4221_4p22_lite_t2_f1p0_h1608.stderr.txt,
m4221_4p22_lite_t2_f1p0_h1440,4221,4.22 lite,2,1.0,1440,ok,0,78.848,1,rife_v2/d2c75ec3.engine,logs\m4221_4p22_lite_t2_f1p0_h1440.stdout.txt,logs\m4221_4p22_lite_t2_f1p0_h1440.stderr.txt,
m4251_4p25_lite_t0_f1p0_h2160,4251,4.25 lite,0,1.0,2160,ok,0,0.889,0,,logs\m4251_4p25_lite_t0_f1p0_h2160.stdout.txt,logs\m4251_4p25_lite_t0_f1p0_h2160.stderr.txt,
m4251_4p25_lite_t0_f1p0_h1920,4251,4.25 lite,0,1.0,1920,ok,0,0.798,0,,logs\m4251_4p25_lite_t0_f1p0_h1920.stdout.txt,logs\m4251_4p25_lite_t0_f1p0_h1920.stderr.txt,
m4251_4p25_lite_t0_f1p0_h1608,4251,4.25 lite,0,1.0,1608,ok,0,0.719,0,,logs\m4251_4p25_lite_t0_f1p0_h1608.stdout.txt,logs\m4251_4p25_lite_t0_f1p0_h1608.stderr.txt,
m4251_4p25_lite_t0_f1p0_h1440,4251,4.25 lite,0,1.0,1440,ok,0,0.672,0,,logs\m4251_4p25_lite_t0_f1p0_h1440.stdout.txt,logs\m4251_4p25_lite_t0_f1p0_h1440.stderr.txt,
m4251_4p25_lite_t1_f1p0_h2160,4251,4.25 lite,1,1.0,2160,ok,0,0.837,0,,logs\m4251_4p25_lite_t1_f1p0_h2160.stdout.txt,logs\m4251_4p25_lite_t1_f1p0_h2160.stderr.txt,
m4251_4p25_lite_t1_f1p0_h1920,4251,4.25 lite,1,1.0,1920,ok,0,0.797,0,,logs\m4251_4p25_lite_t1_f1p0_h1920.stdout.txt,logs\m4251_4p25_lite_t1_f1p0_h1920.stderr.txt,
m4251_4p25_lite_t1_f1p0_h1608,4251,4.25 lite,1,1.0,1608,ok,0,0.705,0,,logs\m4251_4p25_lite_t1_f1p0_h1608.stdout.txt,logs\m4251_4p25_lite_t1_f1p0_h1608.stderr.txt,
m4251_4p25_lite_t1_f1p0_h1440,4251,4.25 lite,1,1.0,1440,ok,0,0.666,0,,logs\m4251_4p25_lite_t1_f1p0_h1440.stdout.txt,logs\m4251_4p25_lite_t1_f1p0_h1440.stderr.txt,
m4251_4p25_lite_t2_f1p0_h2160,4251,4.25 lite,2,1.0,2160,ok,0,119.483,1,rife_v2/5ba567e5.engine,logs\m4251_4p25_lite_t2_f1p0_h2160.stdout.txt,logs\m4251_4p25_lite_t2_f1p0_h2160.stderr.txt,
m4251_4p25_lite_t2_f1p0_h1920,4251,4.25 lite,2,1.0,1920,ok,0,104.905,1,rife_v2/1dab3ced.engine,logs\m4251_4p25_lite_t2_f1p0_h1920.stdout.txt,logs\m4251_4p25_lite_t2_f1p0_h1920.stderr.txt,
m4251_4p25_lite_t2_f1p0_h1608,4251,4.25 lite,2,1.0,1608,ok,0,90.141,1,rife_v2/11199457.engine,logs\m4251_4p25_lite_t2_f1p0_h1608.stdout.txt,logs\m4251_4p25_lite_t2_f1p0_h1608.stderr.txt,
m4251_4p25_lite_t2_f1p0_h1440,4251,4.25 lite,2,1.0,1440,ok,0,86.496,1,rife_v2/5d0340a2.engine,logs\m4251_4p25_lite_t2_f1p0_h1440.stdout.txt,logs\m4251_4p25_lite_t2_f1p0_h1440.stderr.txt,
m426_4p26_t0_f1p0_h2160,426,4.26,0,1.0,2160,ok,0,85.851,1,rife/b420b05.engine,logs\m426_4p26_t0_f1p0_h2160.stdout.txt,logs\m426_4p26_t0_f1p0_h2160.stderr.txt,
m426_4p26_t0_f1p0_h1920,426,4.26,0,1.0,1920,ok,0,0.802,0,,logs\m426_4p26_t0_f1p0_h1920.stdout.txt,logs\m426_4p26_t0_f1p0_h1920.stderr.txt,
m426_4p26_t0_f1p0_h1608,426,4.26,0,1.0,1608,ok,0,0.718,0,,logs\m426_4p26_t0_f1p0_h1608.stdout.txt,logs\m426_4p26_t0_f1p0_h1608.stderr.txt,
m426_4p26_t0_f1p0_h1440,426,4.26,0,1.0,1440,ok,0,0.679,0,,logs\m426_4p26_t0_f1p0_h1440.stdout.txt,logs\m426_4p26_t0_f1p0_h1440.stderr.txt,
m426_4p26_t1_f1p0_h2160,426,4.26,1,1.0,2160,ok,0,0.885,0,,logs\m426_4p26_t1_f1p0_h2160.stdout.txt,logs\m426_4p26_t1_f1p0_h2160.stderr.txt,
m426_4p26_t1_f1p0_h1920,426,4.26,1,1.0,1920,ok,0,0.831,0,,logs\m426_4p26_t1_f1p0_h1920.stdout.txt,logs\m426_4p26_t1_f1p0_h1920.stderr.txt,
m426_4p26_t1_f1p0_h1608,426,4.26,1,1.0,1608,ok,0,0.708,0,,logs\m426_4p26_t1_f1p0_h1608.stdout.txt,logs\m426_4p26_t1_f1p0_h1608.stderr.txt,
m426_4p26_t1_f1p0_h1440,426,4.26,1,1.0,1440,ok,0,0.668,0,,logs\m426_4p26_t1_f1p0_h1440.stdout.txt,logs\m426_4p26_t1_f1p0_h1440.stderr.txt,
m426_4p26_t2_f1p0_h2160,426,4.26,2,1.0,2160,ok,0,135.35,1,rife_v2/afc281c1.engine,logs\m426_4p26_t2_f1p0_h2160.stdout.txt,logs\m426_4p26_t2_f1p0_h2160.stderr.txt,
m426_4p26_t2_f1p0_h1920,426,4.26,2,1.0,1920,ok,0,118.216,1,rife_v2/e9ccdac9.engine,logs\m426_4p26_t2_f1p0_h1920.stdout.txt,logs\m426_4p26_t2_f1p0_h1920.stderr.txt,
m426_4p26_t2_f1p0_h1608,426,4.26,2,1.0,1608,ok,0,100.78,1,rife_v2/e57e7273.engine,logs\m426_4p26_t2_f1p0_h1608.stdout.txt,logs\m426_4p26_t2_f1p0_h1608.stderr.txt,
m426_4p26_t2_f1p0_h1440,426,4.26,2,1.0,1440,ok,0,89.773,1,rife_v2/a964a686.engine,logs\m426_4p26_t2_f1p0_h1440.stdout.txt,logs\m426_4p26_t2_f1p0_h1440.stderr.txt,
m4262_4p26_heavy_t0_f1p0_h2160,4262,4.26 heavy,0,1.0,2160,ok,0,90.395,1,rife/33cbb605.engine,logs\m4262_4p26_heavy_t0_f1p0_h2160.stdout.txt,logs\m4262_4p26_heavy_t0_f1p0_h2160.stderr.txt,
m4262_4p26_heavy_t0_f1p0_h1920,4262,4.26 heavy,0,1.0,1920,ok,0,0.902,0,,logs\m4262_4p26_heavy_t0_f1p0_h1920.stdout.txt,logs\m4262_4p26_heavy_t0_f1p0_h1920.stderr.txt,
