combo_id,model,label,turbo,flow_scale,h_pre,status,returncode,elapsed_seconds,new_engine_count,new_engines,stdout,stderr,removed_zero_engines
m48_4p8_t1_f1p0_h1920,48,4.8,1,1.0,1920,ok,0,0.71,0,,logs\m48_4p8_t1_f1p0_h1920.stdout.txt,logs\m48_4p8_t1_f1p0_h1920.stderr.txt,
m48_4p8_t1_f1p0_h1608,48,4.8,1,1.0,1608,ok,0,0.647,0,,logs\m48_4p8_t1_f1p0_h1608.stdout.txt,logs\m48_4p8_t1_f1p0_h1608.stderr.txt,
m48_4p8_t1_f1p0_h1440,48,4.8,1,1.0,1440,ok,0,0.588,0,,logs\m48_4p8_t1_f1p0_h1440.stdout.txt,logs\m48_4p8_t1_f1p0_h1440.stderr.txt,
m48_4p8_t2_f1p0_h2160,48,4.8,2,1.0,2160,ok,0,109.305,1,rife_v2/b57e9fe1.engine,logs\m48_4p8_t2_f1p0_h2160.stdout.txt,logs\m48_4p8_t2_f1p0_h2160.stderr.txt,
m48_4p8_t2_f1p0_h1920,48,4.8,2,1.0,1920,ok,0,90.866,1,rife_v2/f370c4e9.engine,logs\m48_4p8_t2_f1p0_h1920.stdout.txt,logs\m48_4p8_t2_f1p0_h1920.stderr.txt,
m48_4p8_t2_f1p0_h1608,48,4.8,2,1.0,1608,ok,0,76.357,1,rife_v2/ffc26c53.engine,logs\m48_4p8_t2_f1p0_h1608.stdout.txt,logs\m48_4p8_t2_f1p0_h1608.stderr.txt,
m48_4p8_t2_f1p0_h1440,48,4.8,2,1.0,1440,ok,0,65.913,1,rife_v2/b3d8b8a6.engine,logs\m48_4p8_t2_f1p0_h1440.stdout.txt,logs\m48_4p8_t2_f1p0_h1440.stderr.txt,
m49_4p9_t0_f1p0_h2160,49,4.9,0,1.0,2160,ok,0,62.277,1,rife/e57ae368.engine,logs\m49_4p9_t0_f1p0_h2160.stdout.txt,logs\m49_4p9_t0_f1p0_h2160.stderr.txt,
m49_4p9_t0_f1p0_h1920,49,4.9,0,1.0,1920,ok,0,0.738,0,,logs\m49_4p9_t0_f1p0_h1920.stdout.txt,logs\m49_4p9_t0_f1p0_h1920.stderr.txt,
m49_4p9_t0_f1p0_h1608,49,4.9,0,1.0,1608,ok,0,0.646,0,,logs\m49_4p9_t0_f1p0_h1608.stdout.txt,logs\m49_4p9_t0_f1p0_h1608.stderr.txt,
m49_4p9_t0_f1p0_h1440,49,4.9,0,1.0,1440,ok,0,0.609,0,,logs\m49_4p9_t0_f1p0_h1440.stdout.txt,logs\m49_4p9_t0_f1p0_h1440.stderr.txt,
m49_4p9_t1_f1p0_h2160,49,4.9,1,1.0,2160,ok,0,0.767,0,,logs\m49_4p9_t1_f1p0_h2160.stdout.txt,logs\m49_4p9_t1_f1p0_h2160.stderr.txt,
m49_4p9_t1_f1p0_h1920,49,4.9,1,1.0,1920,ok,0,0.724,0,,logs\m49_4p9_t1_f1p0_h1920.stdout.txt,logs\m49_4p9_t1_f1p0_h1920.stderr.txt,
m49_4p9_t1_f1p0_h1608,49,4.9,1,1.0,1608,ok,0,0.654,0,,logs\m49_4p9_t1_f1p0_h1608.stdout.txt,logs\m49_4p9_t1_f1p0_h1608.stderr.txt,
m49_4p9_t1_f1p0_h1440,49,4.9,1,1.0,1440,ok,0,0.595,0,,logs\m49_4p9_t1_f1p0_h1440.stdout.txt,logs\m49_4p9_t1_f1p0_h1440.stderr.txt,
m49_4p9_t2_f1p0_h2160,49,4.9,2,1.0,2160,ok,0,107.54,1,rife_v2/3c1922.engine,logs\m49_4p9_t2_f1p0_h2160.stdout.txt,logs\m49_4p9_t2_f1p0_h2160.stderr.txt,
m49_4p9_t2_f1p0_h1920,49,4.9,2,1.0,1920,ok,0,92.918,1,rife_v2/4632422a.engine,logs\m49_4p9_t2_f1p0_h1920.stdout.txt,logs\m49_4p9_t2_f1p0_h1920.stderr.txt,
m49_4p9_t2_f1p0_h1608,49,4.9,2,1.0,1608,ok,0,76.21,1,rife_v2/4a80ea90.engine,logs\m49_4p9_t2_f1p0_h1608.stdout.txt,logs\m49_4p9_t2_f1p0_h1608.stderr.txt,
m49_4p9_t2_f1p0_h1440,49,4.9,2,1.0,1440,ok,0,67.633,1,rife_v2/69a3e65.engine,logs\m49_4p9_t2_f1p0_h1440.stdout.txt,logs\m49_4p9_t2_f1p0_h1440.stderr.txt,
