source,line,kind,active_line,shader,exists,menu,raw
portable_config/input_uosc.conf,134,menu,True,Ani/Ani4Kv2_ArtCNN_C4F32_i2_dx.glsl,True,着色器 > 快捷/常用 > LUMA 放大 > Ani4Kv2（动画线条）," Ctrl+1            change-list glsl-shaders toggle ""~~/shaders/Ani/Ani4Kv2_ArtCNN_C4F32_i2_dx.glsl""    #! 着色器 > 快捷/常用 > LUMA 放大 > Ani4Kv2（动画线条）"
portable_config/input_uosc.conf,135,menu,True,Ani/AniSD_ArtCNN_C4F32_i4_dx.glsl,True,着色器 > 快捷/常用 > LUMA 放大 > AniSD（低分辨率动画）," Ctrl+2            change-list glsl-shaders toggle ""~~/shaders/Ani/AniSD_ArtCNN_C4F32_i4_dx.glsl""      #! 着色器 > 快捷/常用 > LUMA 放大 > AniSD（低分辨率动画）"
portable_config/input_uosc.conf,136,menu,True,FSRCNNX/FSRCNNX_x2_16_0_4_1.glsl,True,着色器 > 快捷/常用 > LUMA 放大 > FSRCNNX（通用快速）," Ctrl+3            change-list glsl-shaders toggle ""~~/shaders/FSRCNNX/FSRCNNX_x2_16_0_4_1.glsl""        #! 着色器 > 快捷/常用 > LUMA 放大 > FSRCNNX（通用快速）"
portable_config/input_uosc.conf,137,menu,True,EDI/nnedi3_nns128_win8x4.glsl,True,着色器 > 快捷/常用 > LUMA 放大 > NNEDI3（边缘插值）," Ctrl+4            change-list glsl-shaders toggle ""~~/shaders/EDI/nnedi3_nns128_win8x4.glsl""            #! 着色器 > 快捷/常用 > LUMA 放大 > NNEDI3（边缘插值）"
portable_config/input_uosc.conf,138,menu,False,EDI/nnedi3_nns64_win8x4.glsl,True,着色器 > 快捷/常用 > LUMA 放大 > NNEDI3（边缘插值） (轻量),"#                  change-list glsl-shaders toggle ""~~/shaders/EDI/nnedi3_nns64_win8x4.glsl""              #! 着色器 > 快捷/常用 > LUMA 放大 > NNEDI3（边缘插值） (轻量)"
portable_config/input_uosc.conf,139,menu,False,AMD/AMD_FSR1_RT.glsl,True,着色器 > 快捷/常用 > MAIN 放大 > FSR1_RT,"#                  change-list glsl-shaders toggle ""~~/shaders/AMD/AMD_FSR1_RT.glsl""                     #! 着色器 > 快捷/常用 > MAIN 放大 > FSR1_RT"
portable_config/input_uosc.conf,140,menu,False,Adaptive_sharpen/adaptive_sharpen_RT.glsl,True,着色器 > 快捷/常用 > SCALED 锐化 > 自适应锐化 RT,"#                  change-list glsl-shaders toggle ""~~/shaders/Adaptive_sharpen/adaptive_sharpen_RT.glsl"" #! 着色器 > 快捷/常用 > SCALED 锐化 > 自适应锐化 RT"
portable_config/input_uosc.conf,141,menu,True,Adaptive_sharpen/Adaptive_sharpen_lite_RT.glsl,True,着色器 > 快捷/常用 > SCALED 锐化 > 自适应锐化 Lite," Ctrl+0            change-list glsl-shaders toggle ""~~/shaders/Adaptive_sharpen/Adaptive_sharpen_lite_RT.glsl""  #! 着色器 > 快捷/常用 > SCALED 锐化 > 自适应锐化 Lite"
portable_config/input_uosc.conf,142,menu,True,QCOM/QCOM_SGEDS_ms_RT.glsl,True,着色器 > 快捷/常用 > POSTKERNEL 锐化 > QCOM 主缩放锐化," Ctrl+9            change-list glsl-shaders toggle ""~~/shaders/QCOM/QCOM_SGEDS_ms_RT.glsl"" #! 着色器 > 快捷/常用 > POSTKERNEL 锐化 > QCOM 主缩放锐化"
portable_config/input_uosc.conf,143,menu,False,AMD/AMD_FSR_EASU_rgb_RT.glsl,True,着色器 > 快捷/常用 > MAIN 放大 > FSR_EASU RT,"#                  change-list glsl-shaders toggle ""~~/shaders/AMD/AMD_FSR_EASU_rgb_RT.glsl""            #! 着色器 > 快捷/常用 > MAIN 放大 > FSR_EASU RT"
portable_config/input_uosc.conf,145,menu,True,Anime4K/Anime4K_Restore_CNN_L.glsl,True,着色器 > 标准 > Anime4K > A4K 重建（线条修复）," Ctrl+5            change-list glsl-shaders toggle ""~~/shaders/Anime4K/Anime4K_Restore_CNN_L.glsl"" #! 着色器 > 标准 > Anime4K > A4K 重建（线条修复）"
portable_config/input_uosc.conf,146,menu,False,Anime4K/Anime4K_AIO_optQ.glsl,True,着色器 > 标准 > Anime4K > A4K 配置Q,"#                  change-list glsl-shaders toggle ""~~/shaders/Anime4K/Anime4K_AIO_optQ.glsl"" #! 着色器 > 标准 > Anime4K > A4K 配置Q"
portable_config/input_uosc.conf,147,menu,True,Anime4K/Anime4K_Upscale_GAN_x2_M.glsl,True,着色器 > 标准 > Anime4K > A4K 放大（GAN x2）," Ctrl+6            change-list glsl-shaders toggle ""~~/shaders/Anime4K/Anime4K_Upscale_GAN_x2_M.glsl"" #! 着色器 > 标准 > Anime4K > A4K 放大（GAN x2）"
portable_config/input_uosc.conf,148,menu,True,ESRGAN/k7_modernAnime_FHD_x2.glsl,True,着色器 > 标准 > k7 > k7 Anime," Ctrl+7            change-list glsl-shaders toggle ""~~/shaders/ESRGAN/k7_modernAnime_FHD_x2.glsl"" #! 着色器 > 标准 > k7 > k7 Anime"
portable_config/input_uosc.conf,149,menu,True,ESRGAN/k7_modernAnime_DT_FHD_x2.glsl,True,着色器 > 标准 > k7 > k7 Anime_DT," Ctrl+8            change-list glsl-shaders toggle ""~~/shaders/ESRGAN/k7_modernAnime_DT_FHD_x2.glsl"" #! 着色器 > 标准 > k7 > k7 Anime_DT"
